Owner,Schedule,Location,Day of Week,Start,End,Total Hours,Total Requests,Requests
ry137,BUS-BEST-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00,4.00,15,"ak1024 (1), mi159 (1), pm521 (2), kt306 (1), aza12 (1), alg163 (2), ag1200 (1), psc66 (3), sks183 (5), ny76 (3), jb1339 (5), nrs100 (3), dfr49 (5), ry137 (1), tje42 (3)"
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:00:00,2016-09-24 22:00:00,4.00,16,"ak1024 (1), ib142 (3), mi159 (1), pm521 (3), bah123 (5), kt306 (2), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), jb1339 (5), sbc90 (4), nrs100 (3), jc2004 (4), tje42 (2)"
tje42,BUS-ARC-Cons,NB: Labs: Busch Campus,Saturday,2016-09-24 18:30:00,2016-09-24 22:00:00,3.50,14,"ak1024 (1), ib142 (3), mi159 (1), kt306 (2), aza12 (1), da392 (3), alg163 (1), ag1200 (1), psc66 (1), jb1339 (5), sbc90 (4), nrs100 (3), jc2004 (4), tje42 (1)"
da392,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00,4.00,24,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), kt306 (2), aza12 (1), da392 (3), alg163 (2), ag1200 (1), dja145 (1), jb1339 (5), sbc90 (5), nrs100 (1), ajh223 (1), mwa27 (1), jc2004 (5), ry137 (4), ns812 (4), cso29 (3)"
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00,3.25,28,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), jy415 (3), kt306 (2), aza12 (1), da392 (3), alg163 (2), ag1200 (1), ny76 (1), dja145 (1), jb1339 (5), sbc90 (5), nrs100 (1), ec681 (2), ajh223 (4), ogb4 (5), mwa27 (1), jc2004 (5), ry137 (4), ns812 (4), cso29 (3)"
ajh223,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:45:00,4.00,20,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (4), cws66 (2), sm1574 (1), mi159 (1), kt306 (1), rt448 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), jb1339 (5), nrs100 (1), dfr49 (5), ajh223 (3), mwa27 (3), ry137 (1), dtc77 (3)"
ny76,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 10:45:00,2016-09-25 14:00:00,3.25,20,"dmd349 (4), ak1024 (1), kak336 (4), cws66 (2), sm1574 (1), mi159 (1), jy415 (2), kt306 (1), rt448 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), ny76 (1), jb1339 (5), nrs100 (1), dfr49 (5), mwa27 (3), ry137 (3), dtc77 (3)"
dfd43,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 12:00:00,2016-12-11 15:00:00,3.00,19,"dfd43 (1), dmd349 (4), ak1024 (1), kak336 (1), cws66 (2), ib142 (2), sm1574 (1), mi159 (4), jy415 (4), rt448 (1), rnp56 (1), alg163 (2), cds167 (1), knt35 (1), ny76 (1), jb1339 (5), nrs100 (1), ajh223 (2), dtc77 (2)"
rep100,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 12:00:00,2016-09-25 15:30:00,3.50,29,"dfd43 (2), dmd349 (4), ak1024 (1), kak336 (1), rep100 (5), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), pm521 (2), bah123 (1), kt306 (2), aza12 (1), da392 (3), alg163 (1), cds167 (1), ag1200 (1), ny76 (2), dja145 (3), jb1339 (5), sbc90 (3), nrs100 (1), aac177 (2), ajh223 (4), mwa27 (1), jc2004 (4), ry137 (4), ns812 (2), cso29 (1)"
cds167,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00,3.50,29,"dfd43 (2), dmd349 (1), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), jy415 (4), kt306 (5), am1505 (1), aza12 (1), da392 (3), alg163 (2), cds167 (2), ag1200 (1), knt35 (3), ny76 (1), jb1339 (4), sbc90 (1), nrs100 (1), kad326 (5), aac177 (1), mwa27 (3), jc2004 (1), ry137 (3), ns812 (1), cso29 (1)"
jy415,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:00:00,2016-09-25 17:30:00,3.50,26,"dfd43 (2), dmd349 (1), bnd21 (4), ak1024 (1), kak336 (1), cws66 (2), sm1574 (1), mi159 (1), jy415 (3), rt448 (1), am1505 (1), aza12 (1), alg163 (2), cds167 (1), ag1200 (1), sks183 (5), ety6 (4), ny76 (1), jb1339 (4), nrs100 (1), kad326 (5), dfr49 (5), mwa27 (4), cjk171 (4), ry137 (4), dtc77 (3)"
ab1395,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00,3.25,27,"dfd43 (3), dmd349 (1), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), bah123 (1), am1505 (1), aza12 (1), da392 (3), alg163 (2), cds167 (2), ag1200 (1), ab1395 (1), knt35 (3), jb1339 (4), sbc90 (1), nrs100 (1), kad326 (5), aac177 (1), mwa27 (3), jc2004 (1), ry137 (3), ns812 (1), cso29 (1)"
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 14:45:00,2016-09-25 18:00:00,3.25,24,"dfd43 (3), dmd349 (1), bnd21 (2), ak1024 (1), kak336 (1), cws66 (2), sm1574 (1), mi159 (1), rt448 (1), am1505 (1), aza12 (1), alg163 (2), cds167 (1), ag1200 (1), sks183 (5), ety6 (3), jb1339 (4), nrs100 (1), kad326 (5), dfr49 (5), mwa27 (4), cjk171 (3), ry137 (4), dtc77 (3)"
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 15:00:00,2016-12-11 18:00:00,3.00,18,"dfd43 (2), dmd349 (1), ak1024 (1), kak336 (1), cws66 (2), ib142 (2), sm1574 (1), mi159 (4), rt448 (1), am1505 (1), rnp56 (1), alg163 (2), cds167 (2), knt35 (1), jb1339 (5), nrs100 (1), kad326 (5), dtc77 (2)"
knt35,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 15:30:00,2016-09-25 18:30:00,3.00,27,"dmd349 (1), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), sm1574 (1), mi159 (1), pm521 (2), bah123 (1), am1505 (1), aza12 (1), da392 (3), alg163 (1), ag1200 (1), knt35 (3), ny76 (4), jb1339 (4), sbc90 (1), nrs100 (1), kad326 (5), aac177 (1), mwa27 (3), cjk171 (2), jc2004 (1), ry137 (3), ns812 (1), cso29 (1)"
js1691,BUS-ARC-Disp,NB: Labs: Busch Campus,Sunday,2016-09-25 16:00:00,2016-09-25 19:45:00,3.75,9,"ak1024 (1), kak336 (1), mi159 (3), pm521 (1), bah123 (3), aza12 (1), alg163 (3), js1691 (1), ls949 (2)"
cws66,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00,4.00,22,"dmd349 (1), bnd21 (1), ak1024 (1), kak336 (1), cws66 (2), mi159 (1), rt448 (1), am1505 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), ety6 (1), jb1339 (4), nrs100 (1), ks781 (5), dfr49 (1), ogb4 (1), mwa27 (4), cjk171 (3), ry137 (3), dtc77 (3)"
ogb4,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 17:30:00,2016-09-25 21:30:00,4.00,23,"dmd349 (1), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), mi159 (1), bah123 (1), jy415 (5), am1505 (1), aza12 (1), da392 (3), alg163 (2), ag1200 (1), jb1339 (4), sbc90 (5), nrs100 (1), ks781 (5), ogb4 (1), mwa27 (3), ls949 (2), jc2004 (3), ry137 (3), ns812 (1)"
dmd349,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 18:00:00,2016-12-11 21:00:00,3.00,18,"dfd43 (3), dmd349 (1), ak1024 (1), kak336 (1), cws66 (2), ib142 (2), sm1574 (1), mi159 (4), rt448 (1), am1505 (1), rnp56 (1), ety6 (3), knt35 (1), jb1339 (4), nrs100 (1), ks781 (5), ogb4 (3), dtc77 (2)"
ety6,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00,4.00,21,"dmd349 (1), bnd21 (1), ak1024 (1), kak336 (1), cws66 (2), mi159 (1), am1505 (1), aza12 (1), alg163 (2), ag1200 (1), sks183 (5), ety6 (1), ny76 (3), jb1339 (4), nrs100 (1), ks781 (5), dfr49 (1), mwa27 (4), cjk171 (3), ry137 (1), dtc77 (3)"
am1505,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:00:00,2016-09-25 22:00:00,4.00,23,"dmd349 (1), bnd21 (4), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), mi159 (1), bah123 (1), am1505 (1), aza12 (1), da392 (3), alg163 (2), ag1200 (1), jb1339 (4), sbc90 (4), nrs100 (1), ec681 (3), ks781 (5), mwa27 (3), ls949 (2), jc2004 (4), ry137 (3), ns812 (1)"
alg163,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 18:30:00,2016-09-25 22:30:00,4.00,26,"dmd349 (1), bnd21 (3), ak1024 (1), kak336 (1), cws66 (1), ib142 (3), mi159 (1), bah123 (1), am1505 (1), aza12 (1), da392 (3), alg163 (1), ag1200 (1), ny76 (2), jb1339 (4), sbc90 (3), nrs100 (1), ec681 (2), ks781 (5), ogb4 (5), mwa27 (3), ls949 (2), jc2004 (4), ry137 (3), ns812 (1), knp69 (3)"
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Sunday,2016-12-11 21:00:00,2016-12-12 00:00:00,3.00,11,"bnd21 (2), ib142 (5), mi159 (4), am1505 (1), rnp56 (1), ety6 (5), knt35 (1), dja145 (4), jb1339 (4), ks781 (5), tje42 (3)"
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00,4.50,6,"mi159 (3), aza12 (1), jb1339 (5), ec681 (4), ns812 (4), cso29 (2)"
kak336,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 21:30:00,2016-09-26 02:00:00,4.50,8,"kak336 (1), mi159 (1), aza12 (1), aas281 (1), ny76 (1), jb1339 (5), dfr49 (5), tje42 (1)"
cso29,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00,4.00,5,"mi159 (3), am1505 (1), aza12 (1), rc864 (3), cso29 (2)"
aza12,BUS-BEST-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:00:00,2016-09-26 02:00:00,4.00,5,"mi159 (3), am1505 (1), aza12 (1), dfr49 (5), tje42 (1)"
rc864,BUS-ARC-Cons,NB: Labs: Busch Campus,Sunday,2016-09-25 22:30:00,2016-09-26 02:00:00,3.50,5,"mi159 (3), am1505 (1), aza12 (1), rc864 (3), cso29 (2)"
adb185,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00,3.50,12,"et247 (1), kak336 (1), cws66 (1), ib142 (2), mi159 (3), am1505 (5), jmo185 (2), aas281 (2), adb185 (2), ns812 (5), knp69 (1), yl843 (4)"
rp660,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00,3.75,7,"kak336 (1), cws66 (2), mi159 (3), jmo185 (2), aas281 (1), rp660 (5), yl843 (5)"
et247,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:45:00,3.75,11,"et247 (1), kak336 (1), cws66 (1), ib142 (2), mi159 (3), am1505 (5), jmo185 (2), aas281 (1), adb185 (2), knp69 (1), yl843 (4)"
ogb4,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:00:00,2016-09-26 11:30:00,3.50,9,"kak336 (1), cws66 (2), mi159 (3), jmo185 (2), aza12 (1), aas281 (2), ogb4 (3), rp660 (5), yl843 (4)"
cws66,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:45:00,2.50,5,"kak336 (1), cws66 (2), jmo185 (1), aas281 (3), nrs100 (2)"
mwa27,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 08:15:00,2016-09-26 10:00:00,1.75,12,"et247 (4), kak336 (1), sm1574 (2), am1505 (5), jmo185 (4), cpr75 (5), nrs100 (1), rc864 (4), aac177 (1), mwa27 (1), ns812 (4), cso29 (5)"
kak336,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 10:00:00,2016-12-12 14:00:00,4.00,3,"kak336 (1), aom18 (4), jmo185 (1)"
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 12:30:00,2.50,3,"kak336 (1), bah123 (1), jmo185 (3)"
jmo185,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 10:00:00,2016-09-26 13:30:00,3.50,0,
am1505,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:45:00,2016-09-26 13:15:00,2.50,4,"kak336 (1), aom18 (5), bah123 (1), jmo185 (1)"
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00,3.50,8,"kak336 (1), ch601 (3), lcn16 (3), bah123 (1), jy415 (5), jmo185 (1), mma206 (2), knp69 (1)"
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00,3.50,5,"ij38 (1), kak336 (1), jy415 (5), jmo185 (1), mma206 (1)"
mma206,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00,3.50,6,"ij38 (1), kak336 (1), sm1574 (1), pm521 (2), jmo185 (3), mma206 (1)"
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00,3.50,11,"ij38 (1), kak336 (1), ch601 (3), lcn16 (3), sm1574 (1), pm521 (1), bah123 (1), jmo185 (1), mma206 (2), ec681 (1), knp69 (1)"
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 12:30:00,2016-09-26 15:30:00,3.00,3,"kak336 (1), bah123 (1), jmo185 (3)"
