Owner,Schedule,Location,Day of Week,Start,End
am1505,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 10:45:00,2016-09-26 13:15:00
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
ij38,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:30:00,2016-09-26 15:00:00
mma206,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00
ec681,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 11:45:00,2016-09-26 15:15:00
bah123,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 12:30:00,2016-09-26 15:30:00
aom18,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 13:15:00,2016-09-26 16:30:00
tje42,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 13:30:00,2016-09-26 16:45:00
rbp64,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 14:00:00,2016-12-12 18:00:00
lcn16,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00
jmo185,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:00:00,2016-09-26 18:15:00
hah70,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00
pm521,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:15:00,2016-09-26 18:30:00
bcs109,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 15:30:00,2016-09-26 18:00:00
dtc77,BUS-RBHS-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 16:30:00,2016-09-26 20:00:00
ak1024,BUS-ARC-Disp,NB: Labs: Busch Campus,Monday,2016-09-26 16:45:00,2016-09-26 19:45:00
ks781,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 18:00:00,2016-12-12 21:00:00
bdh60,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:00:00,2016-09-26 20:30:00
sbc90,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00
nrs100,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:15:00,2016-09-26 21:45:00
kad326,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00
kak336,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 18:30:00,2016-09-26 22:15:00
hpp33,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 20:30:00,2016-09-26 23:00:00
bnd21,BUS-LSM-Cons,NB: Labs: Busch Campus,Monday,2016-12-12 21:00:00,2016-12-13 00:00:00
sn453,BUS-BEST-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00
ns812,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 21:45:00,2016-09-27 02:00:00
aac177,BUS-ARC-Cons,NB: Labs: Busch Campus,Monday,2016-09-26 22:15:00,2016-09-27 02:00:00
